index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
575,Williamson,2012,8392,Herrin Animal Control,Herrin,62948,Animal Control,0,0,0,0,0,215,41,0,35,0,156,141,28,0,11,0,158,0,0,0,0,0,0,69,0,46,0
576,Greene,2012,8432,White Hall Animal Control,White Hall,62092,Animal Control,0,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,0
577,Cumberland,2012,8443,Neoga Animal Shelter,Neoga,62447,Animal Control,0,0,0,0,0,0,10,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,9,1,1
578,Knox,2012,8448,Knoxville Animal Control,Knoxville,61448,Animal Control,0,0,0,0,0,0,25,0,25,0,0,0,3,0,3,0,0,0,0,0,0,0,0,28,0,28,0
579,Grundy,2012,8514,Just Animals Placement Service,Mazon,60444,Animal Shelter,39,43,139,217,0,12,87,82,1,0,16,31,366,356,0,4,37,0,0,0,0,0,0,453,438,1,4
580,Hardin,2012,8564,City of Rosiclare,Rosiclare,62982,0,0,0,0,0,0,0,32,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,3,0
581,Lee,2012,8565,City of Amboy,Amboy,61310,Animal Control,0,0,0,0,0,0,17,0,17,0,0,0,33,1,3,29,0,0,0,0,0,0,0,50,1,20,29
582,Moultrie,2012,8566,Village of Arthur,Arthur,61911,Animal Control,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0
583,Will,2012,8568,Homes For Huskies,Lockport,60441,Animal Shelter,10,0,0,0,0,11,10,10,1,0,10,0,0,0,0,0,0,0,0,0,0,0, ,10,10,1,0
584,Lawrence,2012,8603,Lawrence County Humane Society (CATS),Lawrenceville,62439,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,58,110,12,5,61,78,0,0,0,0,78,58,110,12
585,Richland,2012,8645,Humane Society of Olney Area,Olney,62450,Animal Shelter,0,0,0,0,0,0,74,47,25,2,0,1,81,41,37,3,0,0,2,1,1,0,0,157,89,63,5
586,Greene,2012,8675,The Dog P.E.N.,Roodhouse,62082,Animal Shelter,59,3,117,33,0,10,74,62,0,0,12,1,150,150,0,0,0,0,0,0,0,0,0,224,212,0,0
587,Madison,2012,8699,East Alton Animal Control,East Alton,62024,Animal Control,0,0,0,0,0,0,85,0,75,10,0,0,122,0,22,120,0,0,0,0,0,0,0,207,0,97,130
